bn_id,personLabel,childLabel,date_value,year,date_prec,had_child_edtf,note,child,s,person,bn_dob_yr,bn_dod_yr,bn_dob,bn_dod,age,all_start_date,all_end_date,earliest,latest,start_age,last_age,latest_year,earliest_year
Q880,Emma Louisa Radford,Ursula Mary Radford,1894-01-01T00:00:00Z,1894,9,,,Q1523,Q880-ce5af333-40e0-62a4-90ac-8eb50b7fb66a,https://beyond-notability.wikibase.cloud/entity/Q880,1857,1937,1857-01-01T00:00:00Z,1937-04-26T00:00:00Z,37,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1885-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,37,1894,1885
Q1138,Emmeline Way,,1850-01-01T00:00:00Z,1850,9,1850,,,Q1138-97c999d8-48a8-61d6-4f7c-60ab5cde9d82,https://beyond-notability.wikibase.cloud/entity/Q1138,1810,1906,1810-01-01T00:00:00Z,1906-08-31T00:00:00Z,40,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1850-01-01T00:00:00Z,1850-01-01T00:00:00Z,40,40,1850,1850
Q1892,Ethel Ann Burton-Brown,,1892-01-01T00:00:00Z,1892,9,1892,,,Q1892-e7cd8760-4536-dd9b-f695-bd6cb48910f7,https://beyond-notability.wikibase.cloud/entity/Q1892,1868,1927,1868-06-13T00:00:00Z,1927-03-21T00:00:00Z,24,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1892-01-01T00:00:00Z,1903-01-01T00:00:00Z,24,35,1903,1892
Q1892,Ethel Ann Burton-Brown,,1903-01-01T00:00:00Z,1903,9,1903,,,Q1892-48d43231-442b-41c1-5ff2-aac5e6ce58ba,https://beyond-notability.wikibase.cloud/entity/Q1892,1868,1927,1868-06-13T00:00:00Z,1927-03-21T00:00:00Z,35,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1892-01-01T00:00:00Z,1903-01-01T00:00:00Z,24,35,1903,1892
Q936,Evelyn Mary Jones,,1884-03-19T00:00:00Z,1884,11,1884-03-19,,,Q936-929e1676-4fe0-20f4-d937-975fb0a20fbc,https://beyond-notability.wikibase.cloud/entity/Q936,1853,1912,1853-01-01T00:00:00Z,1912-07-17T00:00:00Z,31,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1884-03-19T00:00:00Z,1886-01-01T00:00:00Z,31,33,1886,1884
Q936,Evelyn Mary Jones,,1886-01-01T00:00:00Z,1886,9,1886,,,Q936-68e9868a-45f2-cc07-fb20-d677306fc71b,https://beyond-notability.wikibase.cloud/entity/Q936,1853,1912,1853-01-01T00:00:00Z,1912-07-17T00:00:00Z,33,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1884-03-19T00:00:00Z,1886-01-01T00:00:00Z,31,33,1886,1884
Q816,Fanny Mary Katherine Bulkeley-Owen,,1864-01-01T00:00:00Z,1864,9,1864,,,Q816-083e7227-4a6f-331f-0945-022fb424c748,https://beyond-notability.wikibase.cloud/entity/Q816,1845,1927,1845-01-01T00:00:00Z,1927-01-01T00:00:00Z,19,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1864-01-01T00:00:00Z,1864-01-01T00:00:00Z,19,19,1864,1864
Q316,Fenella Armytage,,1852-01-01T00:00:00Z,1852,9,1852,,,Q316-6d228522-4428-471e-6130-8e5c58810ad2,https://beyond-notability.wikibase.cloud/entity/Q316,1832,1903,1832-05-31T00:00:00Z,1903-11-20T00:00:00Z,20,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1852-01-01T00:00:00Z,1871-01-01T00:00:00Z,20,39,1871,1852
Q316,Fenella Armytage,,1853-01-01T00:00:00Z,1853,9,1853,,,Q316-b08fd1a9-4649-b96b-b5eb-5cec19af84fa,https://beyond-notability.wikibase.cloud/entity/Q316,1832,1903,1832-05-31T00:00:00Z,1903-11-20T00:00:00Z,21,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1852-01-01T00:00:00Z,1871-01-01T00:00:00Z,20,39,1871,1852
Q316,Fenella Armytage,,1871-01-01T00:00:00Z,1871,9,1871,,,Q316-9e0f1221-4fd7-e2a0-57b1-dd0c8e142954,https://beyond-notability.wikibase.cloud/entity/Q316,1832,1903,1832-05-31T00:00:00Z,1903-11-20T00:00:00Z,39,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1852-01-01T00:00:00Z,1871-01-01T00:00:00Z,20,39,1871,1852
Q995,Frances Murray,,1873-01-01T00:00:00Z,1873,9,1873,,,Q995-6c30d1d1-4b77-d3eb-10ff-3988866b7a83,https://beyond-notability.wikibase.cloud/entity/Q995,1843,1919,1843-02-23T00:00:00Z,1919-04-03T00:00:00Z,30,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1873-01-01T00:00:00Z,1880-01-01T00:00:00Z,30,37,1880,1873
Q995,Frances Murray,,1875-01-01T00:00:00Z,1875,9,1875,,,Q995-1b355baf-4cb9-a0bf-b053-309efbbf9391,https://beyond-notability.wikibase.cloud/entity/Q995,1843,1919,1843-02-23T00:00:00Z,1919-04-03T00:00:00Z,32,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1873-01-01T00:00:00Z,1880-01-01T00:00:00Z,30,37,1880,1873
Q995,Frances Murray,,1878-01-01T00:00:00Z,1878,9,1878,,,Q995-82ce067c-4ad8-7261-6ae9-eb02c3296037,https://beyond-notability.wikibase.cloud/entity/Q995,1843,1919,1843-02-23T00:00:00Z,1919-04-03T00:00:00Z,35,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1873-01-01T00:00:00Z,1880-01-01T00:00:00Z,30,37,1880,1873
Q995,Frances Murray,,1880-01-01T00:00:00Z,1880,9,1880,,,Q995-3ca47f54-4b9c-fc17-a46c-a066b36d650d,https://beyond-notability.wikibase.cloud/entity/Q995,1843,1919,1843-02-23T00:00:00Z,1919-04-03T00:00:00Z,37,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1873-01-01T00:00:00Z,1880-01-01T00:00:00Z,30,37,1880,1873
Q1702,Grace Maud Briscoe,,1911-12-03T00:00:00Z,1911,11,1911-12-03,,,Q1702-098d7b06-41d1-b30b-453b-6b6b6ea398f9,https://beyond-notability.wikibase.cloud/entity/Q1702,1891,1973,1891-02-09T00:00:00Z,1973-10-03T00:00:00Z,20,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1911-12-03T00:00:00Z,1914-04-03T00:00:00Z,20,23,1914,1911
Q1702,Grace Maud Briscoe,,1914-04-03T00:00:00Z,1914,11,1914-04-03,,,Q1702-fb7da6b7-4649-445f-e0d1-e6e6982cd9fa,https://beyond-notability.wikibase.cloud/entity/Q1702,1891,1973,1891-02-09T00:00:00Z,1973-10-03T00:00:00Z,23,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1911-12-03T00:00:00Z,1914-04-03T00:00:00Z,20,23,1914,1911
Q1065,Helen Mary Tirard,,1886-01-01T00:00:00Z,1886,9,1886,,,Q1065-e97c54c8-42b1-5045-dde0-b223968cb56a,https://beyond-notability.wikibase.cloud/entity/Q1065,1853,1943,1853-01-01T00:00:00Z,1943-01-01T00:00:00Z,33,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1886-01-01T00:00:00Z,1892-01-01T00:00:00Z,33,39,1892,1886
Q1065,Helen Mary Tirard,,1889-01-01T00:00:00Z,1889,9,1889,,,Q1065-74da8642-4fd1-d295-3fb1-73f0e5b89d06,https://beyond-notability.wikibase.cloud/entity/Q1065,1853,1943,1853-01-01T00:00:00Z,1943-01-01T00:00:00Z,36,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1886-01-01T00:00:00Z,1892-01-01T00:00:00Z,33,39,1892,1886
Q1065,Helen Mary Tirard,,1892-01-01T00:00:00Z,1892,9,1892,,,Q1065-164222e3-457a-3298-bbc1-5498f6666de1,https://beyond-notability.wikibase.cloud/entity/Q1065,1853,1943,1853-01-01T00:00:00Z,1943-01-01T00:00:00Z,39,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1886-01-01T00:00:00Z,1892-01-01T00:00:00Z,33,39,1892,1886
Q106,Jacquetta Hawkes,,1937-01-01T00:00:00Z,1937,9,1937,,,Q106-e973c76c-4f15-5aa9-2a65-3b77a8eb18bd,https://beyond-notability.wikibase.cloud/entity/Q106,1910,1996,1910-08-05T00:00:00Z,1996-03-18T00:00:00Z,27,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1937-01-01T00:00:00Z,1937-01-01T00:00:00Z,27,27,1937,1937
Q1154,Jane Morris,,1861-01-01T00:00:00Z,1861,9,1861,,,Q1154-fa17e9c7-4a10-dbdb-62e4-0944b6010759,https://beyond-notability.wikibase.cloud/entity/Q1154,1839,1914,1839-10-19T00:00:00Z,1914-01-26T00:00:00Z,22,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1861-01-01T00:00:00Z,1862-01-01T00:00:00Z,22,23,1862,1861
Q1154,Jane Morris,,1862-01-01T00:00:00Z,1862,9,1862,,,Q1154-400701fc-447e-a570-6d93-ac7c5da06a6f,https://beyond-notability.wikibase.cloud/entity/Q1154,1839,1914,1839-10-19T00:00:00Z,1914-01-26T00:00:00Z,23,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1861-01-01T00:00:00Z,1862-01-01T00:00:00Z,22,23,1862,1861
Q1269,Janet Elizabeth Birch,,1910-07-14T00:00:00Z,1910,11,1910-07-14,,,Q1269-0827a080-411c-1314-34b2-80c05528d785,https://beyond-notability.wikibase.cloud/entity/Q1269,1877,1929,1877-05-21T00:00:00Z,1929-01-01T00:00:00Z,33,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1910-07-14T00:00:00Z,1910-07-14T00:00:00Z,33,33,1910,1910
Q844,Josephine Mary Elizabeth Davies,,1891-01-01T00:00:00Z,1891,9,1891,,,Q844-d42e6830-4563-09b8-f0fb-3befa04074fe,https://beyond-notability.wikibase.cloud/entity/Q844,1868,1920,1868-01-01T00:00:00Z,1920-01-01T00:00:00Z,23,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1891-01-01T00:00:00Z,1891-01-01T00:00:00Z,23,23,1891,1891
Q177,Katherine Ada Esdaile,,1910-01-01T00:00:00Z,1910,9,1910,,,Q177-d5847f30-4881-8f58-c895-21975202f370,https://beyond-notability.wikibase.cloud/entity/Q177,1881,1950,1881-04-23T00:00:00Z,1950-08-31T00:00:00Z,29,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1910-01-01T00:00:00Z,1919-01-01T00:00:00Z,29,38,1919,1910
Q177,Katherine Ada Esdaile,,1913-01-01T00:00:00Z,1913,9,1913,,,Q177-c610e896-45fb-1692-9353-19c279b0795b,https://beyond-notability.wikibase.cloud/entity/Q177,1881,1950,1881-04-23T00:00:00Z,1950-08-31T00:00:00Z,32,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1910-01-01T00:00:00Z,1919-01-01T00:00:00Z,29,38,1919,1910
Q177,Katherine Ada Esdaile,,1919-01-01T00:00:00Z,1919,9,1919,,,Q177-f86d59dd-47ca-44dd-f3e0-fbecd90982af,https://beyond-notability.wikibase.cloud/entity/Q177,1881,1950,1881-04-23T00:00:00Z,1950-08-31T00:00:00Z,38,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1910-01-01T00:00:00Z,1919-01-01T00:00:00Z,29,38,1919,1910
